# Env keys under C:\cevict-live (sorted by key name)
# Generated: 2026-02-04 04:29:54
#
KEY	HAS_VALUE	FILE(S)	VALUE_OR_MASKED
CRYPTO_MIN_CONFIDENCE	yes	apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.MASTER_BACKUP; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP	(use -IncludeValues to show)
CRYPTO_STOP_LOSS	yes	apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.MASTER_BACKUP; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP	(use -IncludeValues to show)
CRYPTO_STRATEGIES	yes	apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.MASTER_BACKUP; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP	(use -IncludeValues to show)
CRYPTO_TAKE_PROFIT	yes	apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.MASTER_BACKUP; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP	(use -IncludeValues to show)
DAILY_PROFIT_TARGET	yes	apps\alpha-hunter\.env.example; apps\alpha-hunter\.env.local; apps\alpha-hunter\.env.local.backup; apps\alpha-hunter\.env.local.backup2; apps\alpha-hunter\.env.local.backup_20251230_183203; apps\alpha-hunter\.env.local.backup_working; apps\alpha-hunter\.env.local.MASTER_BACKUP; old-cevict-monorepo\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.example; _wt_petreunion_push\apps\alpha-hunter\.env.local; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup2; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_20251230_183203; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_working; _wt_petreunion_push\apps\alpha-hunter\.env.local.MASTER_BACKUP	(use -IncludeValues to show)
DASHBOARD_KEY	yes	cloud-orchestrator\.env.example	(use -IncludeValues to show)
DATABASE_TYPE	yes	old-cevict-monorepo\apps\ai-orchestrator\.env.example	(use -IncludeValues to show)
DATABASE_URL	yes	apps\cevict\.env; backups\_20260108_0705cevict\.env; backups\_20260108_0711cevict\.env; old-cevict-monorepo\apps\ai-orchestrator\.env.example; old-cevict-monorepo\apps\cevict\.env.example	(use -IncludeValues to show)
DEBUG_MODE	yes	apps\prognostication\progno-massager\.env.local; apps\prognostication\progno-massager\.env.local.example; backups\_20260108_0705progno-massager\.env.local; backups\_20260108_0711progno-massager\.env.local	(use -IncludeValues to show)
DERIVATIVES_DEFAULT_CONTRACTS	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
DERIVATIVES_MAX_POSITION	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
DISCORD_WEBHOOK_URL	yes	old-cevict-monorepo\apps\ai-orchestrator\.env.example	(use -IncludeValues to show)
DRY_RUN	yes	.env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local-old; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
EMAIL_API_KEY	yes	old-cevict-monorepo\apps\wheretovacation\.env.local.example	(use -IncludeValues to show)
EMAIL_FROM	yes	old-cevict-monorepo\apps\wheretovacation\.env.local.example	(use -IncludeValues to show)
EMAIL_PROVIDER	yes	old-cevict-monorepo\apps\wheretovacation\.env.local.example	(use -IncludeValues to show)
ENABLE_ARBITRAGE	yes	apps\alpha-hunter\environments\prod\.env.local; backups\prod\.env.local	(use -IncludeValues to show)
ENABLE_ARBITRAGE_EXECUTION	yes	apps\praxis.original\.env.example	(use -IncludeValues to show)
ENABLE_AUTO_FUND	yes	apps\alpha-hunter\environments\test\.env.test	(use -IncludeValues to show)
ENABLE_CLAUDE	yes	backups\_20260108_0705ai-orchestrator\.env.local; backups\_20260108_0711ai-orchestrator\.env.local; old-cevict-monorepo\apps\ai-orchestrator\.env.example	(use -IncludeValues to show)
ENABLE_COINBASE_DERIVATIVES	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
ENABLE_COINBASE_LENDING	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
ENABLE_COMMODITIES_EXPERT	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
ENABLE_CRYPTO_PERPS	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
ENABLE_CRYPTOCOM	yes	.env.local.backup; .env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
ENABLE_FILE_WATCHER	yes	.env.template.txt; old-cevict-monorepo\apps\ai-orchestrator\.env.example	(use -IncludeValues to show)
ENABLE_FORGE_API	yes	.env.local.backup	(use -IncludeValues to show)
ENABLE_FUTURES	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
ENABLE_GEMINI	yes	backups\_20260108_0705ai-orchestrator\.env.local; backups\_20260108_0711ai-orchestrator\.env.local; old-cevict-monorepo\apps\ai-orchestrator\.env.example	(use -IncludeValues to show)
ENABLE_GPT4	yes	backups\_20260108_0705ai-orchestrator\.env.local; backups\_20260108_0711ai-orchestrator\.env.local; old-cevict-monorepo\apps\ai-orchestrator\.env.example	(use -IncludeValues to show)
ENABLE_INBOX_MONITOR	yes	.env.template.txt	(use -IncludeValues to show)
ENABLE_INDICES_EXPERT	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
ENABLE_KALSHI_LIQUIDITY_FARMING	yes	apps\alpha-hunter\environments\test\.env.test	(use -IncludeValues to show)
ENABLE_KALSHI_MARKET_MAKER	yes	apps\alpha-hunter\environments\test\.env.test	(use -IncludeValues to show)
ENABLE_KALSHI_TRADING	yes	apps\alpha-hunter\environments\test\.env.test	(use -IncludeValues to show)
ENABLE_LIQUIDITY_FARMING	yes	.env.local.backup; .env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
ENABLE_LOCAL	yes	backups\_20260108_0705ai-orchestrator\.env.local; backups\_20260108_0711ai-orchestrator\.env.local; old-cevict-monorepo\apps\ai-orchestrator\.env.example	(use -IncludeValues to show)
ENABLE_MARKET_MAKER	yes	.env.local.backup	(use -IncludeValues to show)
ENABLE_MEMORY	yes	.env.template.txt; old-cevict-monorepo\apps\ai-orchestrator\.env.example	(use -IncludeValues to show)
ENABLE_NOTIFICATIONS	yes	.env.template.txt; backups\_20260108_0705local-agent\.env.local; backups\_20260108_0711local-agent\.env.local; old-cevict-monorepo\apps\ai-orchestrator\.env.example; old-cevict-monorepo\apps\local-agent\.env.example	(use -IncludeValues to show)
ENABLE_POLYMARKET_SPECIALISTS	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
ENABLE_PROGNO_ALPHA	yes	.env.local.backup	(use -IncludeValues to show)
ENABLE_TRADE_BEEP	yes	.env.local.backup; .env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
ENABLE_TRADING	yes	apps\praxis.original\.env.example	(use -IncludeValues to show)
FACEBOOK_ACCESS_TOKEN	yes	.env.local_01142025; apps\wheretovacation\.env.production; backups\_20260108_0705wheretovacation\.env.production; backups\_20260108_0711wheretovacation\.env.production; old-cevict-monorepo\apps\wheretovacation\.env.production; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
FACEBOOK_APP_ID	yes	.env.local_01142025; apps\petreunion\.env.local; apps\progno\.env.local; apps\wheretovacation\.env.production; backups\_20260108_0705wheretovacation\.env.production; backups\_20260108_0711wheretovacation\.env.production; old-cevict-monorepo\apps\wheretovacation\.env.production; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
FACEBOOK_APP_SECRET	yes	.env.local_01142025; apps\petreunion\.env.local; apps\progno\.env.local; apps\wheretovacation\.env.production; backups\_20260108_0705wheretovacation\.env.production; backups\_20260108_0711wheretovacation\.env.production; old-cevict-monorepo\apps\wheretovacation\.env.production; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
FALLBACK_AI_PROVIDER	yes	.env.local.backup; .env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
FFMPEG_PATH	yes	old-cevict-monorepo\apps\calmcast\.env.example	(use -IncludeValues to show)
FILE_WATCHER_DEBOUNCE	yes	old-cevict-monorepo\apps\ai-orchestrator\.env.example	(use -IncludeValues to show)
FORCE_DRY_RUN	yes	apps\alpha-hunter\arbitrage-v2\.env.local	(use -IncludeValues to show)
FROM_EMAIL	yes	apps\gulfcoastcharters\.env.local.example	(use -IncludeValues to show)
FUNDAMENTAL_POLL_URL	no	.env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
FUTURES_DEFAULT_LEVERAGE	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
FUTURES_EXCHANGE	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
FUTURES_MAX_LEVERAGE	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
FUTURES_MAX_POSITION	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
FUTURES_TESTNET	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
GEMINI_API_KEY	yes	apps\alpha-hunter\environments\test\.env.local	(use -IncludeValues to show)
GEMINI_MODEL	yes	apps\alpha-hunter\environments\test\.env.local	(use -IncludeValues to show)
GITHUB_TOKEN	yes	.env.local.backup; .env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
GITHUB_WEBHOOK_SECRET	yes	cloud-orchestrator\.env.example	(use -IncludeValues to show)
GOOGLE_AI_API_KEY	yes	apps\cevict\.env; backups\_20260108_0705cevict\.env; backups\_20260108_0711cevict\.env; old-cevict-monorepo\apps\cevict\.env.example	(use -IncludeValues to show)
GOOGLE_API_KEY	yes	apps\wheretovacation\.env.production; backups\_20260108_0705ai-orchestrator\.env.local; backups\_20260108_0705local-agent\.env.local; backups\_20260108_0705wheretovacation\.env.production; backups\_20260108_0711ai-orchestrator\.env.local; backups\_20260108_0711local-agent\.env.local; backups\_20260108_0711wheretovacation\.env.production; old-cevict-monorepo\apps\ai-orchestrator\.env.example; old-cevict-monorepo\apps\wheretovacation\.env.production	(use -IncludeValues to show)
GOOGLE_CLIENT_SECRET	yes	apps\gulfcoastcharters\.env.local.example	(use -IncludeValues to show)
GOOGLE_CSE_ID	yes	apps\wheretovacation\.env.production; backups\_20260108_0705wheretovacation\.env.production; backups\_20260108_0711wheretovacation\.env.production; old-cevict-monorepo\apps\wheretovacation\.env.production	(use -IncludeValues to show)
GOOGLE_CUSTOM_SEARCH_API_KEY	yes	.env.local.backup; .env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\.env.local; apps\alpha-hunter\.env.local.backup2; apps\alpha-hunter\.env.local.backup_working; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\alpha-hunter\environments\test\.env.local; apps\alpha-hunter\environments\test\.env.local; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\gulfcoastcharters\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\petreunion\scripts\petreunion\.vercel\.env.preview.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; backups\_20260108_0705cevict\.env.local; backups\_20260108_0705launchpad\.env.local; backups\_20260108_0705petreunion\.env.local; backups\_20260108_0705petreunion\.vercel\.env.preview.local; backups\_20260108_0711cevict\.env.local; backups\_20260108_0711launchpad\.env.local; backups\_20260108_0711petreunion\.env.local; backups\_20260108_0711petreunion\.vercel\.env.preview.local; old-cevict-monorepo\apps\wheretovacation\.env.local.example; _wt_petreunion_push\apps\alpha-hunter\.env.local; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup2; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_working; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
GOOGLE_CUSTOM_SEARCH_ENGINE_ID	yes	.env.local.backup; .env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\.env.local; apps\alpha-hunter\.env.local.backup2; apps\alpha-hunter\.env.local.backup_working; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\gulfcoastcharters\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\petreunion\scripts\petreunion\.vercel\.env.preview.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; backups\_20260108_0705cevict\.env.local; backups\_20260108_0705launchpad\.env.local; backups\_20260108_0705petreunion\.env.local; backups\_20260108_0705petreunion\.vercel\.env.preview.local; backups\_20260108_0711cevict\.env.local; backups\_20260108_0711launchpad\.env.local; backups\_20260108_0711petreunion\.env.local; backups\_20260108_0711petreunion\.vercel\.env.preview.local; old-cevict-monorepo\apps\wheretovacation\.env.local.example; _wt_petreunion_push\apps\alpha-hunter\.env.local; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup2; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_working; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
GOOGLE_DRIVE_PATH	yes	.env.local.backup; .env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
GOOGLE_GEMINI_API_KEY	yes	.env.local.backup; .env.local_01142025; apps\.idea\.env.local; apps\ai-orchestrator\.env.local; apps\alexa-skill\.env.local; apps\alpha-hunter\.env.local; apps\alpha-hunter\.env.local.backup2; apps\alpha-hunter\.env.local.backup_working; apps\alpha-hunter\arbitrage-v2\.env.local; apps\alpha-hunter\environments\prod\.env.local; apps\alpha-hunter\environments\prod\.env.local.backup; apps\alpha-hunter\environments\test\.env.local; apps\alpha-hunter\environments\test\.env.local; apps\alpha-hunter\environments\test\.env.local; apps\audit-test\.env.local; apps\auspicio\.env.local; apps\banner-generator\.env.local; apps\brain\.env.local; apps\calmcast\.env.local; apps\cds-demo\.env.local; apps\cevict\.env.local; apps\cevict-ai\.env.local; apps\deployer\.env.local; apps\empire-c2\.env.local; apps\Fishy\.env.local; apps\gateway\.env.local; apps\gcc\.env.local; apps\google-assistant\.env.local; apps\gulfcoastcharters\.env.local; apps\kalshi-dash\.env.local; apps\launchpad\.env.local; apps\local-agent\.env.local; apps\petreunion\.env.local; apps\petreunion\scripts\petreunion\.env.local; apps\petreunion\scripts\petreunion\.vercel\.env.preview.local; apps\popthepopcorn\.env.local; apps\progno\.env.local; apps\shared\.env.local; apps\smokersrights\.env.local; apps\solar-weather\.env.local; apps\supershopper\.env.local; apps\supershopper-v2\.env.local; apps\task-bot\.env.local; apps\trading-dashboard\.env.local; apps\wheretovacation\.env.local; backups\prod\.env.local; backups\prod\.env.local.backup; backups\_20260108_0705cevict\.env.local; backups\_20260108_0705launchpad\.env.local; backups\_20260108_0705petreunion\.env.local; backups\_20260108_0705petreunion\.vercel\.env.preview.local; backups\_20260108_0711cevict\.env.local; backups\_20260108_0711launchpad\.env.local; backups\_20260108_0711petreunion\.env.local; backups\_20260108_0711petreunion\.vercel\.env.preview.local; old-cevict-monorepo\apps\wheretovacation\.env.local.example; _wt_petreunion_push\apps\alpha-hunter\.env.local; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup2; _wt_petreunion_push\apps\alpha-hunter\.env.local.backup_working; _wt_petreunion_push\apps\petreunion\.env.local	(use -IncludeValues to show)
HUMAN_EMAIL	yes	cloud-orchestrator\.env.example	(use -IncludeValues to show)
HUMAN_PHONE_NUMBER	yes	cloud-orchestrator\.env.example	(use -IncludeValues to show)
IMAGE_QUALITY	yes	apps\gulfcoastcharters\.env.example; old-cevict-monorepo\apps\wheretovacation\.env.example	(use -IncludeValues to show)
INBOX_CHECK_INTERVAL	yes	.env.template.txt	(use -IncludeValues to show)
INDICES_MAX_DAILY_TRADES	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
INDICES_MIN_CONFIDENCE	yes	apps\alpha-hunter\environments\prod\.env.local.backup; backups\prod\.env.local.backup	(use -IncludeValues to show)
